Timestamp,Asset_ID,Asset_Model,Asset_Type,Location,uplink,L1_Numeric_Val,L2_Error_Frames,MAC_Table_Count,Link_Flaps,RSSI,SNR,L3_Latency_ms,DPI_Latency_ms,L7_App_Response_ms,Protocol_Conversion_Time,Env_Temp_C,RF_Noise_dBm,Scenario_Type,AI_Risk_Assessment,Anomaly_Score,Root_Cause,Confidence,Severity,Root_Cause_Original,Is_Cascading_Failure
2025-12-07 22:53:26,PLC-ROBOT-01,Siemens S7-1500,PLC,Assembly_Line_1,EDGE-SW-01,1,1,0,0,0,0,18.5,0,82.8,0,38.5,-92,Normal,Stable,0.2031500379359058,None,N/A,NORMAL,None,False
2025-12-07 22:54:56,CORE-SW-02,Hirschmann RS40,Switch,Server_Room,Cloud,0,2,0,0,0,0,5.5,0,34.6,0,20.8,-76,Normal,Stable,0.18315458384363575,None,N/A,NORMAL,None,False
2025-12-07 22:56:26,PLC-ROBOT-01,Siemens S7-1500,PLC,Assembly_Line_1,EDGE-SW-01,70,11,0,0,0,0,37.8,0,84.9,0,73.4,-95,Heat_Wave,Stable,0.0898775465949136,None,N/A,NORMAL,None,False
2025-12-07 22:57:56,WLAN-AP-01,Belden BAT867,WLAN_AP,Factory_Floor_A,EDGE-SW-01,4,3,0,0,-63,30,6.9,0,74.2,0,23.9,-93,Normal,Stable,0.06079541139315908,None,N/A,NORMAL,None,False
2025-12-07 22:59:26,GATEWAY-02,Belden OpEdge-8D,Gateway,Factory_Floor_B,EDGE-SW-02,2,1,0,0,0,0,6.6,0,58.9,60,21.1,-83,Normal,Stable,0.12976503444629356,None,N/A,NORMAL,None,False
2025-12-07 23:00:56,GATEWAY-02,Belden OpEdge-8D,Gateway,Factory_Floor_B,EDGE-SW-02,0,33,0,0,0,0,52.1,0,214.8,34,29.0,-58,RF_Interference,Stable,0.07213554501803682,None,N/A,NORMAL,None,False
2025-12-07 23:02:26,SENSOR-HUB-02,Phoenix Contact,Sensor,Packaging,GATEWAY-02,3,3,0,0,0,0,12.1,0,66.2,0,26.9,-84,Normal,Stable,0.21535752204829034,None,N/A,NORMAL,None,False
2025-12-07 23:03:56,PLC-ROBOT-02,Siemens S7-1500,PLC,Assembly_Line_2,EDGE-SW-02,37,8,0,0,0,0,27.3,0,101.4,0,59.7,-72,Progressive_Wear,Stable,0.1501803981598943,None,N/A,NORMAL,None,False
2025-12-07 23:05:26,EDGE-SW-01,Hirschmann BOBCAT,Switch,Factory_Floor_A,SEC-FW-01,36,18,0,1,0,0,44.7,0,130.7,0,59.6,-88,Progressive_Wear,Stable,0.10925317736284412,None,N/A,NORMAL,None,False
2025-12-07 23:06:56,WLAN-AP-01,Belden BAT867,WLAN_AP,Factory_Floor_A,EDGE-SW-01,4,8,0,0,-69,16,18.1,0,52.8,0,25.3,-85,Normal,Stable,0.10075787610472814,None,N/A,NORMAL,None,False
2025-12-07 23:08:26,PLC-ROBOT-01,Siemens S7-1500,PLC,Assembly_Line_1,EDGE-SW-01,1,5,0,0,0,0,19.9,0,55.7,0,26.6,-87,Normal,Stable,0.2145380538061717,None,N/A,NORMAL,None,False
2025-12-07 23:09:56,GATEWAY-02,Belden OpEdge-8D,Gateway,Factory_Floor_B,EDGE-SW-02,4,5,0,0,0,0,20.1,0,90.5,29,25.5,-93,Normal,Stable,0.15994202794065904,None,N/A,NORMAL,None,False
2025-12-07 23:11:26,PLC-ROBOT-01,Siemens S7-1500,PLC,Assembly_Line_1,EDGE-SW-01,2,3,0,0,0,0,24.9,0,64.2,0,37.0,-76,Normal,Stable,0.21500257167329984,None,N/A,NORMAL,None,False
2025-12-07 23:12:56,GATEWAY-01,Belden OpEdge-8D,Gateway,Factory_Floor_A,EDGE-SW-01,3,64,0,0,0,0,76.7,0,163.7,38,20.3,-48,RF_Interference,Stable,0.032156063247191224,None,N/A,NORMAL,None,False
2025-12-07 23:14:26,WLAN-AP-01,Belden BAT867,WLAN_AP,Factory_Floor_A,EDGE-SW-01,3,7,0,0,-51,28,8.6,0,79.1,0,20.1,-79,Normal,Stable,0.07779547803175324,None,N/A,NORMAL,None,False
2025-12-07 23:15:56,SENSOR-HUB-02,Phoenix Contact,Sensor,Packaging,GATEWAY-02,2,1,0,0,0,0,20.3,0,62.5,0,41.0,-84,Normal,Stable,0.2179643069717092,None,N/A,NORMAL,None,False
2025-12-07 23:17:26,SENSOR-HUB-01,Phoenix Contact,Sensor,Quality_Control,GATEWAY-01,2,54,0,0,0,0,85.1,0,205.7,0,43.0,-62,RF_Interference,Stable,0.10819336104230459,None,N/A,NORMAL,None,False
2025-12-07 23:18:56,EDGE-SW-01,Hirschmann BOBCAT,Switch,Factory_Floor_A,SEC-FW-01,2,0,0,0,0,0,14.7,0,31.5,0,26.0,-72,Normal,Stable,0.19672807887528804,None,N/A,NORMAL,None,False
2025-12-07 23:20:26,SENSOR-HUB-01,Phoenix Contact,Sensor,Quality_Control,GATEWAY-01,3,9,0,0,0,0,10.3,0,77.5,0,23.1,-90,Normal,Stable,0.20179610391090347,None,N/A,NORMAL,None,False
2025-12-07 23:21:56,WLAN-AP-01,Belden BAT867,WLAN_AP,Factory_Floor_A,EDGE-SW-01,46,18,0,0,-66,10,32.0,0,116.3,0,63.9,-73,Progressive_Wear,Stable,0.04202339802053212,None,N/A,NORMAL,None,False
2025-12-07 23:23:26,EDGE-SW-02,Hirschmann BOBCAT,Switch,Factory_Floor_B,SEC-FW-02,0,2,0,0,0,0,5.4,0,55.9,0,32.9,-85,Normal,Stable,0.20925783587361152,None,N/A,NORMAL,None,False
2025-12-07 23:24:56,GATEWAY-02,Belden OpEdge-8D,Gateway,Factory_Floor_B,EDGE-SW-02,3,2,0,0,0,0,22.2,0,45.9,35,21.8,-94,Normal,Stable,0.14498826036710205,None,N/A,NORMAL,None,False
2025-12-07 23:26:26,EDGE-SW-01,Hirschmann BOBCAT,Switch,Factory_Floor_A,SEC-FW-01,0,9,0,0,0,0,16.5,0,42.9,0,25.4,-77,Normal,Stable,0.2010576576369889,None,N/A,NORMAL,None,False
